group,Duration,seamount,year,marker,Temperature,Fe(II),H2S,pH
AxBT01,2,Axial,1998,N4,,,,
AxBT03,4,Axial,1998,113,,,,
AxBT05,16,Axial,1998,33,,,,
AxBT08,2,Axial,1998,33,,,,
AxBT10,14,Axial,1998,33,,,,
AxBT18,12,Axial,1998,N2,,,,
AxBT36,5,Axial,1999,N4,,,,
AxBT38,5,Axial,1999,N4,,,,
AxBT43,5,Axial,1999,33,,,,
AxBT44,7,Axial,2000,33,,,,
AxBT47,7,Axial,2000,33,,,,
AxBT66,19,Axial,2002,N6,,,,
LBT03,,Loihi,2004,29,,,,
LBT04,4,Loihi,2004,30,60,,,
LBT05,4,Loihi,2004,38,44,,,
LBT07,4,Loihi,2004,38,44,,,
LBT08,4,Loihi,2004,39,46,,,
LBT09,,Loihi,2004,36,,,,
LBT10,,Loihi,2004,36,,,,
LBT89,5,Loihi,2009,57,47.5,,,
LBT90,8,Loihi,2009,57,12.5,,,
LBT91,5,Loihi,2009,39,46,,,
LBT92,9,Loihi,2009,57,24.3,,,
LBT93,8,Loihi,2009,36,35.6,,,
LBT94,8,Loihi,2009,57,25.1,,,
LBT96,8,Loihi,2009,38,50.2,,,
LBT97,9,Loihi,2009,57,25.1,,,
LBT98,9,Loihi,2009,34,50.6,,,
LBTL10,4,Loihi,1998,11,64,,,
LBTL7,,Loihi,1998,20,,,,
LBTL9A,4,Loihi,1998,11,77,,,
